Date,Time,Temperature (Celsius),Ice Cream Sales
2023-01-01,08:00,18,20
2023-01-01,08:05,19,22
2023-01-01,08:10,20,25
2023-01-01,08:15,21,24
2023-01-01,08:20,22,26
2023-01-01,08:25,23,28
2023-01-01,08:30,24,30
2023-01-01,08:35,25,32
2023-01-01,08:40,26,35
2023-01-01,08:45,27,38
2023-01-01,08:50,28,36
2023-01-01,08:55,29,34
2023-01-01,09:00,30,32
2023-01-01,09:05,31,31
2023-01-01,09:10,32,30
2023-01-01,09:15,33,29
2023-01-01,09:20,34,28
2023-01-01,09:25,35,27
2023-01-01,09:30,36,26
2023-01-01,09:35,37,25
2023-01-01,09:40,38,24
2023-01-01,09:45,39,23
2023-01-01,09:50,40,22
2023-01-01,09:55,41,21
2023-01-01,10:00,42,20
2023-01-01,10:05,43,19
2023-01-01,10:10,44,18
2023-01-01,10:15,45,17
2023-01-01,10:20,46,16
2023-01-01,10:25,47,15
2023-01-01,10:30,48,14
2023-01-01,10:35,49,13
2023-01-01,10:40,50,12
2023-01-01,10:45,51,11
2023-01-01,10:50,52,10
2023-01-01,10:55,53,9
2023-01-01,11:00,54,8
2023-01-01,11:05,55,7
2023-01-01,11:10,56,6
2023-01-01,11:15,57,5
2023-01-01,11:20,58,4
2023-01-01,11:25,59,3
2023-01-01,11:30,60,2
2023-01-01,11:35,61,1
2023-01-01,11:40,62,0
